Timestamp,Name:,Who will win at the end of the first 90 minutes? [Uruguay vs Portugal],Who will win at the end of the first 90 minutes? [France vs Argentina],Who will win at the end of the first 90 minutes? [Brazil vs Mexico],Who will win at the end of the first 90 minutes? [Belgium vs Japan],Who will win at the end of the first 90 minutes? [Spain vs Russia],Who will win at the end of the first 90 minutes? [Croatia vs Denmark],Who will win at the end of the first 90 minutes? [Sweden vs Switzerland],Who will win at the end of the first 90 minutes? [Colombia vs England]
6/30/2018 11:48:49,Modli,1,2,1,1,X,1,1,2
6/30/2018 11:55:14,David,2,1,1,1,X,1,2,X
6/30/2018 11:56:50,Boaz,X,2,1,1,1,1,X,1
6/30/2018 12:10:03,Itay,2,1,1,1,1,1,1,1
6/30/2018 12:11:55,Shay,1,2,1,X,1,1,X,X
6/30/2018 12:24:57,Tal,1,1,1,1,1,1,1,2
6/30/2018 13:30:35,Michal ,1,X,1,1,1,1,X,2
6/30/2018 13:49:34,פלח,X,1,1,1,X,1,2,2
6/30/2018 14:07:35,Mor,2,X,1,1,1,X,X,1
6/30/2018 15:12:24,Orr,2,1,1,1,1,X,X,2
6/30/2018 19:00:45,Yaron,2,1,1,1,1,2,X,1