Timestamp,Name:,Who will win at the end of the first 90 minutes? [France vs Croatia],Who will win at the end of the first 90 minutes? [Belgium vs England],How many points should be given for the third place game? (first place worth 4 points)
7/12/2018 10:26:48,פלח,1,1,3 points
7/12/2018 10:47:03,Mor,1,X,Gazilion points
7/12/2018 10:48:35,David,1,1,Gazilion points
7/12/2018 10:49:54,Roza,1,1,2 points
7/12/2018 10:56:33,Itay,1,2,3 points
7/12/2018 11:22:19,Tal,1,1,Gazilion points
7/12/2018 11:23:38,Shay,X,2,Gazilion points
7/12/2018 14:51:47,Yaron,1,2,3 points
7/12/2018 15:51:43,Boaz,1,X,3 points
7/14/2018 14:59:25,Modli,1,1,1 point